plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,avgMonthlyUsageGb,recentPlanChange,contractRenewalDue,region,churn
Ultra,2499,57,6,2,2,3,1,1,1000,286,True,False,East,1
Premium,1499,15,0,0,6,1,0,0,500,185,True,False,West,1
Ultra,2499,45,7,4,6,1,1,0,1000,113,False,True,South,1
Basic,699,6,5,4,8,4,1,0,100,198,True,False,North,1
Ultra,2499,31,7,2,3,0,0,1,1000,203,False,False,North,0
Premium,1499,29,2,6,4,1,1,0,500,46,True,True,South,1
Premium,1499,15,7,5,3,3,1,1,500,151,False,False,West,1
Plus,999,24,4,2,4,1,0,0,200,218,False,False,East,0
Premium,1499,4,0,6,4,2,1,1,500,214,False,False,South,0
Basic,699,8,2,3,2,5,1,1,100,255,False,False,West,1
Basic,699,29,7,6,3,1,1,0,100,173,False,True,West,1
Basic,699,58,7,5,0,5,0,0,100,89,False,False,South,1
Premium,1499,22,3,0,6,4,0,1,500,139,False,False,South,1
Plus,999,22,3,4,0,0,0,0,200,73,False,False,West,1
Basic,699,54,6,5,2,2,1,1,100,148,False,False,East,1
Basic,699,53,8,3,8,2,0,1,100,264,False,True,North,1
Premium,1499,16,1,2,8,3,1,1,500,151,False,False,West,0
Plus,999,57,0,4,5,3,0,1,200,49,True,False,South,1
Plus,999,3,1,6,4,1,1,0,200,193,False,False,South,1
Plus,999,34,3,3,1,1,0,1,200,144,True,False,South,0
Plus,999,12,8,0,8,1,0,0,200,20,True,False,North,1
Plus,999,57,0,0,1,5,1,1,200,211,False,True,North,1
Ultra,2499,46,6,1,0,4,0,1,1000,184,False,False,North,1
Plus,999,58,8,4,5,5,0,0,200,156,False,False,West,1
Plus,999,13,5,4,6,4,1,0,200,112,True,True,North,1
Ultra,2499,59,2,0,5,2,1,1,1000,222,False,True,North,0
Basic,699,28,6,6,6,2,0,0,100,138,True,False,East,1
Basic,699,46,1,3,4,0,1,1,100,230,True,False,East,0
Ultra,2499,3,8,0,5,4,0,1,1000,261,False,True,South,1
Ultra,2499,11,6,7,0,4,0,1,1000,209,False,False,North,1
Ultra,2499,51,1,5,0,2,1,0,1000,83,False,False,West,0
Basic,699,45,3,2,0,0,0,1,100,159,False,False,East,1
Plus,999,25,0,4,1,4,0,1,200,301,False,False,West,1
Premium,1499,8,7,7,7,2,0,0,500,141,False,False,South,1
Basic,699,35,8,2,4,0,1,0,100,95,False,True,South,1
Ultra,2499,22,8,1,7,0,1,1,1000,202,False,True,East,1
Premium,1499,32,0,5,6,4,0,0,500,173,False,True,East,1
Basic,699,46,0,0,1,5,1,0,100,73,False,False,West,1
Basic,699,30,2,3,2,2,1,0,100,302,False,False,East,0
Premium,1499,1,0,1,7,4,0,0,500,195,False,False,South,1
Ultra,2499,5,6,5,0,3,0,0,1000,91,False,False,North,1
Premium,1499,1,2,7,1,5,0,1,500,194,False,True,North,1
Plus,999,53,7,0,2,1,0,0,200,128,False,False,East,1
Basic,699,31,4,1,8,4,1,1,100,234,False,True,South,1
Ultra,2499,27,8,3,6,2,0,1,1000,196,False,False,North,1
Basic,699,40,8,2,7,1,1,0,100,264,False,False,North,1
Premium,1499,3,2,5,8,5,1,0,500,42,False,True,East,1
Premium,1499,29,4,3,5,1,1,0,500,166,False,False,West,1
Ultra,2499,29,3,3,4,2,0,1,1000,176,False,False,South,1
Premium,1499,26,2,0,5,2,0,1,500,43,False,False,North,1
Ultra,2499,40,5,5,1,2,1,0,1000,52,False,True,North,1
Premium,1499,58,5,1,0,3,1,0,500,173,False,False,South,1
Basic,699,7,7,6,1,4,0,0,100,119,False,False,West,1
Basic,699,44,2,2,0,3,1,0,100,252,False,False,East,1
Basic,699,44,2,0,1,5,0,0,100,170,False,False,East,0
Basic,699,1,2,6,0,0,1,0,100,130,False,False,South,0
Premium,1499,52,4,7,5,0,1,1,500,295,True,False,North,1
Plus,999,55,2,7,8,0,1,1,200,128,False,False,North,1
Ultra,2499,19,3,4,0,1,0,0,1000,89,False,True,North,0
Ultra,2499,3,8,4,1,0,1,0,1000,211,False,False,East,0
Plus,999,35,5,5,3,2,1,0,200,98,True,False,North,1
Ultra,2499,37,0,0,6,4,1,0,1000,158,True,False,West,1
Basic,699,50,3,7,8,2,0,0,100,207,False,False,East,1
Premium,1499,56,3,0,0,3,1,1,500,166,False,False,South,1
Basic,699,14,2,5,0,0,1,0,100,253,False,False,South,0
Plus,999,19,1,7,8,2,0,0,200,146,False,False,South,1
Plus,999,20,5,1,1,0,0,0,200,214,False,False,North,1
Basic,699,41,8,6,8,2,0,0,100,170,True,False,North,1
Ultra,2499,15,2,0,4,5,1,1,1000,46,False,False,West,1
Plus,999,6,2,6,4,1,1,0,200,185,False,False,West,1
Plus,999,52,0,2,7,2,1,0,200,173,True,False,West,0
Plus,999,1,7,1,1,2,0,0,200,58,False,False,South,1
Plus,999,7,2,1,5,4,0,1,200,182,False,False,North,1
Basic,699,33,6,3,8,2,1,0,100,246,False,False,West,1
Ultra,2499,11,1,6,8,4,0,0,1000,213,False,False,South,1
Plus,999,5,8,6,2,4,1,0,200,239,False,False,East,1
Basic,699,33,2,2,7,1,0,0,100,173,True,True,East,1
Plus,999,9,2,0,4,0,1,1,200,210,False,False,South,0
Basic,699,5,6,5,3,5,0,0,100,130,False,False,South,1
Plus,999,4,4,2,3,1,0,1,200,172,False,False,South,1
Basic,699,16,5,3,0,1,0,1,100,238,False,True,East,1
Basic,699,44,0,5,3,3,1,1,100,20,False,False,North,1
Plus,999,9,1,0,2,4,0,1,200,107,False,False,North,1
Ultra,2499,56,0,2,8,1,0,0,1000,93,False,False,East,1
Ultra,2499,26,2,2,1,1,0,1,1000,273,False,False,East,1
Premium,1499,54,6,6,7,0,1,0,500,137,False,False,North,1
Ultra,2499,24,5,0,4,4,1,1,1000,147,False,True,West,1
Plus,999,44,4,3,3,4,1,1,200,99,True,False,West,1
Plus,999,9,2,6,2,3,0,0,200,152,False,True,South,1
Plus,999,59,5,5,4,5,0,0,200,173,False,False,North,1
Ultra,2499,39,1,6,2,5,0,1,1000,113,False,False,West,1
Plus,999,36,5,3,2,5,1,1,200,87,False,True,East,1
Premium,1499,35,3,3,3,2,0,0,500,109,False,True,North,1
Premium,1499,55,8,7,6,0,1,1,500,77,False,False,West,0
Premium,1499,32,5,7,6,4,1,1,500,248,False,False,South,1
Ultra,2499,55,4,6,6,5,1,0,1000,248,False,False,South,1
Premium,1499,19,5,0,8,5,0,1,500,102,False,False,East,1
Premium,1499,12,6,2,5,2,1,1,500,125,False,False,North,1
Plus,999,1,7,4,2,1,1,0,200,96,False,False,East,1
Premium,1499,42,8,3,3,1,1,0,500,242,False,False,East,1
Basic,699,29,6,3,7,1,0,0,100,151,True,False,North,1
Premium,1499,59,2,2,1,0,1,1,500,339,True,False,East,1
Plus,999,24,4,2,6,4,1,1,200,72,False,False,West,1
Ultra,2499,13,2,0,8,3,1,0,1000,229,False,False,West,1
Ultra,2499,26,5,6,3,1,1,0,1000,153,True,False,North,0
Premium,1499,53,2,7,8,0,0,1,500,192,False,False,North,1
Plus,999,31,2,2,1,2,0,1,200,195,False,False,South,1
Basic,699,39,4,3,1,1,1,0,100,113,False,True,North,1
Plus,999,25,5,5,2,4,1,0,200,125,False,True,South,1
Ultra,2499,51,3,5,2,5,1,1,1000,243,False,False,South,0
Plus,999,11,2,7,3,5,0,0,200,262,True,False,West,1
Plus,999,51,5,3,2,1,1,1,200,296,True,False,North,1
Basic,699,59,0,7,0,4,0,1,100,231,False,False,North,1
Plus,999,54,3,6,0,0,0,1,200,64,True,False,East,1
Plus,999,58,8,2,1,3,1,1,200,128,False,False,West,1
Premium,1499,29,4,2,2,1,0,0,500,106,True,True,North,1
Premium,1499,17,2,5,8,5,0,0,500,275,True,False,West,1
Plus,999,53,5,3,5,5,0,1,200,199,False,False,West,0
Plus,999,5,1,0,4,3,1,1,200,120,True,True,West,1
Plus,999,55,8,4,1,5,1,0,200,234,True,False,South,1
Plus,999,26,0,4,6,1,1,1,200,150,False,False,East,0
Basic,699,24,5,4,1,1,0,1,100,105,True,False,East,1
Premium,1499,22,6,4,0,4,0,1,500,90,False,True,East,1
Ultra,2499,23,2,0,7,0,0,0,1000,250,False,False,South,0
Basic,699,40,7,1,2,5,0,0,100,192,False,False,South,1
Ultra,2499,58,6,7,8,4,1,1,1000,180,True,False,West,1
Plus,999,28,7,7,3,0,0,0,200,63,False,False,North,1
Premium,1499,45,8,7,8,3,1,0,500,167,False,False,East,1
Basic,699,41,6,5,4,1,0,1,100,210,False,True,North,1
Basic,699,23,0,5,7,3,1,1,100,196,False,False,East,1
Basic,699,1,2,6,8,3,1,1,100,222,False,False,West,1
Premium,1499,37,7,7,4,0,1,0,500,224,False,False,North,1
Premium,1499,3,0,6,3,2,1,0,500,205,False,True,West,0
Ultra,2499,40,2,7,7,0,0,1,1000,118,True,False,South,1
Basic,699,45,5,7,0,1,1,1,100,263,True,False,West,1
Plus,999,28,4,3,1,2,1,1,200,163,False,False,East,1
Ultra,2499,16,4,5,4,2,0,1,1000,116,False,False,East,1
Ultra,2499,37,3,3,4,2,1,1,1000,226,False,False,West,1
Plus,999,10,3,0,5,4,1,0,200,118,False,False,South,0
Premium,1499,7,3,2,1,0,1,0,500,196,True,True,West,1
Ultra,2499,21,4,5,3,2,1,1,1000,164,False,False,South,0
Plus,999,3,3,0,0,2,1,1,200,241,False,False,North,1
Plus,999,37,0,0,2,5,1,0,200,115,True,True,West,1
Ultra,2499,56,5,6,3,2,1,1,1000,261,False,False,West,0
Basic,699,60,3,1,4,5,1,1,100,185,False,False,West,1
Basic,699,5,3,5,0,1,1,0,100,119,False,False,South,1
Plus,999,13,4,7,4,1,1,1,200,29,False,True,East,1
Ultra,2499,46,6,6,8,0,0,1,1000,70,False,False,East,1
Basic,699,10,1,7,7,2,0,1,100,156,False,False,East,1
Premium,1499,4,2,3,8,2,0,0,500,136,True,False,East,1
Premium,1499,12,7,5,2,1,0,0,500,279,False,True,South,1
Basic,699,9,5,6,1,1,0,0,100,269,False,True,East,1
Ultra,2499,5,1,6,7,2,0,1,1000,95,False,True,West,1
Premium,1499,49,5,3,0,1,1,1,500,297,False,True,South,0
Premium,1499,53,7,2,3,0,0,1,500,99,False,False,South,1
Premium,1499,30,1,0,1,3,0,0,500,203,False,True,North,0
Basic,699,29,6,4,8,3,0,1,100,195,False,False,East,1
Ultra,2499,7,2,4,0,3,1,0,1000,257,False,False,South,1
Ultra,2499,41,2,5,8,0,0,0,1000,217,False,True,East,1
Premium,1499,46,4,2,3,3,0,0,500,303,False,False,North,1
Basic,699,9,1,1,0,0,1,0,100,97,False,False,West,0
Basic,699,43,1,7,0,3,1,0,100,326,False,False,South,1
Premium,1499,45,5,2,5,5,0,1,500,154,True,True,West,0
Premium,1499,16,3,7,2,1,0,1,500,176,False,True,North,1
Ultra,2499,44,5,4,6,1,0,0,1000,258,False,False,South,0
Premium,1499,20,7,0,4,4,1,1,500,193,True,False,South,1
Premium,1499,40,6,5,1,4,1,0,500,71,False,False,East,1
Plus,999,26,6,3,2,4,1,1,200,257,False,True,West,1
Plus,999,11,5,2,0,3,0,1,200,179,False,True,South,1
Premium,1499,37,2,2,4,0,0,1,500,103,False,False,West,1
Plus,999,38,5,5,6,1,1,0,200,243,False,False,South,1
Plus,999,53,4,2,0,3,1,0,200,291,False,False,North,1
Premium,1499,7,3,3,1,1,0,0,500,277,False,False,South,0
Plus,999,5,1,2,2,0,0,0,200,84,False,False,North,0
Plus,999,56,6,6,8,3,1,1,200,215,False,True,North,1
Premium,1499,36,8,0,6,2,1,0,500,229,False,False,North,1
Plus,999,37,8,7,7,5,1,0,200,108,False,False,West,1
Premium,1499,56,6,4,1,4,1,0,500,112,False,False,North,1
Ultra,2499,52,2,2,1,1,0,0,1000,160,False,True,East,1
Premium,1499,35,3,1,4,5,1,0,500,227,True,False,West,1
Ultra,2499,38,4,1,2,4,0,0,1000,143,False,True,South,0
Ultra,2499,27,0,2,0,0,0,1,1000,209,False,False,East,1
Ultra,2499,13,1,0,5,5,0,1,1000,138,False,False,South,1
Basic,699,60,5,2,6,4,0,0,100,185,True,False,West,1
Ultra,2499,49,6,3,3,1,0,1,1000,212,False,False,South,1
Ultra,2499,27,1,5,1,5,1,0,1000,99,False,True,West,1
Basic,699,1,1,3,2,5,0,0,100,54,False,False,South,1
Plus,999,23,2,7,1,4,1,1,200,130,False,False,North,1
Ultra,2499,32,6,1,0,3,1,0,1000,143,True,False,North,0
Premium,1499,16,1,2,7,4,1,1,500,208,True,False,North,1
Ultra,2499,38,8,3,8,5,1,1,1000,174,False,True,North,0
Plus,999,45,6,6,5,5,1,1,200,281,False,False,East,1
Basic,699,9,5,7,3,2,0,1,100,62,False,False,West,1
Basic,699,49,7,4,2,4,0,1,100,160,False,False,West,1
Premium,1499,5,7,6,7,0,0,1,500,215,False,False,East,1
Premium,1499,26,4,1,8,1,1,0,500,331,False,True,West,1
Premium,1499,14,6,1,6,2,0,1,500,194,False,True,South,1
Ultra,2499,57,0,5,2,0,0,0,1000,257,False,False,North,1
Premium,1499,36,0,0,8,1,1,1,500,122,False,True,South,1
Plus,999,56,0,5,7,2,0,1,200,240,False,False,North,1
Ultra,2499,56,3,0,2,3,1,0,1000,69,True,True,East,1
Ultra,2499,7,5,3,0,2,1,1,1000,174,True,False,South,0
Premium,1499,28,7,0,8,3,0,0,500,318,False,True,North,1
Plus,999,28,5,1,0,1,1,1,200,215,False,False,South,1
Basic,699,26,7,4,5,3,1,1,100,339,True,False,West,1
Plus,999,8,5,5,6,3,0,1,200,214,False,False,South,0
Plus,999,8,0,5,3,1,1,1,200,193,False,False,East,1
Ultra,2499,20,8,4,5,2,0,1,1000,210,False,True,South,1
Premium,1499,1,7,1,2,2,1,1,500,227,False,True,North,1
Plus,999,26,2,2,1,0,1,0,200,164,False,False,West,1
Ultra,2499,50,4,3,5,4,1,1,1000,132,False,True,East,1
Premium,1499,9,5,1,6,0,1,1,500,319,False,True,North,1
Basic,699,34,0,5,4,4,0,1,100,141,False,False,West,1
Premium,1499,41,3,5,2,2,1,1,500,238,True,False,West,1
Premium,1499,45,7,3,4,2,0,0,500,89,False,False,North,1
Basic,699,34,3,6,1,0,0,0,100,137,False,False,South,1
Basic,699,33,7,2,8,0,1,0,100,209,False,False,North,1
Ultra,2499,12,5,1,5,1,0,1,1000,55,False,False,South,0
Plus,999,31,8,0,1,4,0,1,200,197,False,False,East,1
Ultra,2499,32,1,7,7,5,1,0,1000,211,False,False,North,0
Plus,999,14,6,2,4,3,1,1,200,212,False,False,North,1
Basic,699,4,8,5,7,1,0,0,100,216,False,False,East,1
Basic,699,35,6,4,4,1,1,1,100,339,False,False,East,1
Ultra,2499,38,5,7,2,4,1,1,1000,220,False,False,East,1
Plus,999,34,1,0,2,1,0,1,200,89,False,False,North,0
Premium,1499,34,8,3,7,0,1,0,500,190,False,False,East,0
Premium,1499,60,5,1,4,1,1,1,500,189,False,True,West,0
Basic,699,6,2,3,0,1,1,1,100,228,False,True,North,1
Ultra,2499,54,8,1,4,2,0,0,1000,172,False,False,South,0
Ultra,2499,30,0,5,5,1,1,1,1000,152,False,True,East,1
Premium,1499,48,8,0,7,5,0,1,500,146,False,False,North,1
Basic,699,8,3,1,0,1,0,1,100,171,False,False,East,1
Plus,999,47,6,0,0,5,1,0,200,20,False,False,North,1
Basic,699,57,2,4,3,5,1,0,100,256,False,False,West,1
Ultra,2499,9,7,1,3,5,1,1,1000,181,False,True,South,1
Basic,699,46,0,5,8,2,1,0,100,298,False,False,West,1
Basic,699,42,5,6,6,1,1,0,100,190,False,False,North,1
Premium,1499,16,6,0,2,4,0,1,500,192,False,False,South,1
Ultra,2499,50,6,6,0,2,0,1,1000,151,True,True,East,1
Ultra,2499,5,0,1,7,2,0,1,1000,148,False,False,East,1
Premium,1499,3,5,1,0,1,0,0,500,173,False,True,East,1
Ultra,2499,14,6,2,8,0,1,1,1000,183,False,False,South,1
Plus,999,60,0,6,0,3,1,1,200,129,False,False,North,1
Plus,999,33,8,4,8,3,1,1,200,248,False,False,South,1
Premium,1499,35,7,2,7,0,1,1,500,260,False,True,West,1
Basic,699,51,1,6,4,5,0,0,100,158,False,True,North,1
Plus,999,36,7,7,5,4,0,0,200,154,False,False,West,1
Premium,1499,7,3,0,0,4,0,1,500,109,False,False,West,0
Plus,999,35,2,6,2,2,1,0,200,287,False,False,North,1
Plus,999,56,3,1,0,5,1,1,200,115,False,True,East,1
Basic,699,46,7,4,1,4,0,0,100,157,False,False,South,1
Basic,699,4,7,4,1,5,0,0,100,214,False,False,West,1
Ultra,2499,10,6,4,6,1,0,0,1000,215,False,False,East,1
Plus,999,19,0,4,3,1,1,0,200,237,True,False,North,1
Premium,1499,25,8,6,1,5,1,0,500,167,True,True,West,1
Plus,999,4,2,0,0,4,1,0,200,262,False,False,South,1
Premium,1499,13,6,0,0,2,1,1,500,183,False,True,North,1
Plus,999,22,0,0,7,1,1,0,200,144,False,False,West,1
Basic,699,7,3,6,0,5,1,0,100,202,False,False,South,1
Premium,1499,21,4,6,1,3,0,0,500,215,False,False,North,1
Basic,699,30,4,4,3,3,0,0,100,265,False,False,East,0
Plus,999,12,5,2,1,5,1,0,200,299,True,True,East,1
Plus,999,47,0,4,4,5,1,1,200,210,False,False,North,1
Plus,999,27,5,5,1,1,0,1,200,124,False,False,East,1
Basic,699,44,2,4,5,5,1,1,100,269,True,True,North,1
Basic,699,21,8,1,2,3,1,1,100,215,False,False,West,1
Ultra,2499,51,8,6,2,1,1,1,1000,112,False,False,East,1
Premium,1499,2,8,3,7,5,0,0,500,139,False,False,South,1
Premium,1499,3,0,6,8,1,1,0,500,166,False,False,South,1
Premium,1499,33,6,4,7,0,0,0,500,51,False,False,West,1
Ultra,2499,12,2,0,2,0,0,0,1000,284,False,False,South,0
Premium,1499,58,5,0,3,1,0,0,500,172,True,False,West,1
Premium,1499,48,6,7,3,4,0,0,500,326,True,False,North,1
Basic,699,26,0,0,1,3,0,0,100,227,True,False,West,0
Ultra,2499,48,0,6,0,4,1,1,1000,176,False,False,North,0
Ultra,2499,31,4,6,3,0,0,0,1000,203,False,False,East,1
Plus,999,28,1,1,3,3,0,0,200,241,False,True,North,1
Premium,1499,45,4,5,8,1,1,0,500,276,False,True,East,1
Basic,699,5,5,3,5,1,1,1,100,228,False,False,West,0
Premium,1499,19,4,6,6,3,0,0,500,102,True,False,East,1
Basic,699,52,2,1,8,1,0,0,100,142,False,False,East,0
Plus,999,58,6,2,0,4,1,0,200,204,False,False,South,1
Premium,1499,41,3,6,4,1,0,1,500,51,False,True,East,1
Basic,699,50,8,2,8,5,1,0,100,224,False,False,North,1
Premium,1499,23,0,4,6,0,0,0,500,172,False,True,North,1
Ultra,2499,2,0,1,2,4,0,0,1000,196,False,True,South,1
Plus,999,37,6,1,5,0,0,0,200,26,False,False,East,1
Ultra,2499,28,5,3,4,2,1,0,1000,247,False,False,South,0
Ultra,2499,27,3,4,6,0,0,0,1000,196,False,True,West,1
Plus,999,47,4,7,2,2,0,1,200,195,False,False,West,0
Plus,999,11,5,1,2,3,0,1,200,159,False,True,West,0
Ultra,2499,60,5,6,2,1,1,0,1000,202,False,False,West,0
Ultra,2499,55,8,7,8,2,1,1,1000,91,False,True,South,1
Plus,999,24,0,0,6,0,1,1,200,121,False,False,South,1
Premium,1499,52,3,4,0,2,1,1,500,122,False,False,South,1
Ultra,2499,54,4,5,2,2,1,0,1000,328,True,False,East,1
Basic,699,50,1,1,7,1,0,0,100,314,False,True,West,1
Plus,999,22,4,2,1,4,1,1,200,184,False,False,West,1
Basic,699,23,1,1,0,1,0,0,100,131,False,False,South,0
Premium,1499,6,2,3,0,0,1,0,500,266,False,False,West,1
Plus,999,32,2,1,8,3,0,0,200,254,False,True,South,1
Ultra,2499,36,0,1,1,2,0,0,1000,341,False,False,West,0
Plus,999,7,7,1,7,5,1,0,200,268,False,True,West,1
Plus,999,49,5,0,8,2,0,1,200,111,False,False,East,0
Basic,699,41,1,1,3,3,1,0,100,203,False,True,North,1
Plus,999,36,8,7,8,5,0,1,200,122,True,False,North,1
Ultra,2499,8,6,1,6,0,0,1,1000,323,False,True,South,1
Ultra,2499,17,7,7,1,4,0,1,1000,234,False,True,West,1
Basic,699,58,0,2,4,4,0,1,100,125,False,False,North,1
Premium,1499,43,4,3,2,1,1,0,500,85,True,False,West,1
Ultra,2499,39,6,5,7,2,1,1,1000,182,True,False,East,1
Basic,699,16,5,2,1,2,0,0,100,167,False,False,South,1
Basic,699,31,0,3,3,2,0,1,100,228,False,True,South,1
Basic,699,40,8,3,2,2,1,0,100,110,False,True,North,1
Basic,699,53,0,5,3,0,0,0,100,263,False,True,West,1
Ultra,2499,45,4,6,3,1,1,0,1000,83,False,True,North,1
Basic,699,57,4,7,6,2,0,1,100,41,False,False,West,1
Basic,699,21,7,3,8,2,1,0,100,312,True,False,West,0
Premium,1499,52,1,2,3,4,1,1,500,121,False,False,East,1
Basic,699,49,7,2,3,5,1,0,100,72,True,False,West,1
Premium,1499,50,4,6,7,3,0,0,500,221,False,False,North,1
Basic,699,53,8,7,1,2,1,1,100,163,False,False,South,1
Basic,699,14,1,7,5,2,0,0,100,209,False,False,East,0
Premium,1499,33,5,7,2,3,0,0,500,156,False,False,West,1
Ultra,2499,10,7,2,8,4,1,0,1000,171,False,False,South,1
Ultra,2499,44,3,2,7,0,0,1,1000,145,False,False,West,1
Plus,999,23,2,3,8,3,1,0,200,110,False,False,North,1
Ultra,2499,38,3,2,0,5,1,1,1000,123,False,False,East,1
Plus,999,31,3,6,1,2,1,1,200,198,False,False,East,1
Premium,1499,27,7,0,7,4,1,1,500,234,False,False,South,1
Basic,699,38,0,3,8,2,0,0,100,208,False,False,South,1
Plus,999,12,0,2,2,5,0,1,200,211,True,False,West,0
Ultra,2499,28,1,7,1,3,0,0,1000,190,False,True,East,1
Premium,1499,54,8,6,8,1,0,1,500,180,True,True,West,0
Basic,699,14,2,2,0,1,1,0,100,191,True,False,East,1
Ultra,2499,18,7,1,0,3,0,0,1000,154,False,False,North,0
Basic,699,26,3,7,0,2,0,0,100,206,False,True,South,1
Ultra,2499,12,4,4,6,4,0,0,1000,263,False,False,East,1
Ultra,2499,16,8,0,8,1,0,1,1000,231,False,False,North,1
Premium,1499,40,8,5,1,5,0,0,500,170,True,False,West,1
Basic,699,11,1,6,3,2,0,1,100,252,False,False,West,1
Ultra,2499,46,6,7,6,5,1,0,1000,99,False,True,East,1
Plus,999,38,7,4,5,0,1,0,200,175,False,False,East,1
Ultra,2499,48,7,5,6,0,0,0,1000,185,False,False,North,1
Plus,999,39,0,2,2,0,1,1,200,263,False,True,North,1
Basic,699,38,3,2,2,2,0,0,100,101,False,True,South,1
Basic,699,3,2,5,5,2,0,0,100,192,False,False,East,1
Basic,699,15,6,4,3,4,0,0,100,222,False,True,South,1
Plus,999,38,6,2,0,4,0,1,200,353,False,False,South,1
Premium,1499,49,4,1,2,4,0,1,500,269,False,False,West,1
Plus,999,4,1,2,3,3,1,0,200,217,True,False,East,1
Basic,699,59,0,6,2,4,1,0,100,265,False,False,East,1
Basic,699,38,2,2,6,3,0,0,100,241,True,False,West,1
Ultra,2499,55,4,7,5,1,1,1,1000,139,False,False,South,1
Ultra,2499,8,7,3,0,0,0,1,1000,245,False,True,North,1
Basic,699,5,5,3,5,2,0,1,100,254,True,True,South,1
Basic,699,20,3,0,8,3,1,1,100,115,False,False,South,1
Premium,1499,56,2,2,1,4,0,1,500,170,False,False,North,1
Basic,699,20,8,7,7,0,1,1,100,143,False,False,South,0
Plus,999,49,2,6,5,0,1,0,200,209,True,False,East,0
Premium,1499,4,8,5,8,2,0,0,500,79,False,False,West,1
Ultra,2499,9,6,2,0,5,1,1,1000,199,False,False,South,1
Plus,999,56,5,5,1,4,1,0,200,250,False,True,East,1
Basic,699,35,2,5,6,1,1,1,100,407,True,False,East,0
Basic,699,6,2,2,3,2,0,1,100,167,False,True,North,0
Ultra,2499,26,2,7,0,1,1,1,1000,249,True,False,East,1
Basic,699,38,5,6,3,1,0,1,100,65,False,False,North,1
Basic,699,4,1,3,3,2,0,0,100,136,True,False,West,1
Plus,999,25,0,0,6,0,0,1,200,214,False,True,West,1
Basic,699,60,6,0,7,3,0,1,100,96,False,False,East,1
Premium,1499,15,7,2,3,2,1,0,500,240,False,False,South,0
Basic,699,14,3,6,1,0,1,1,100,38,False,False,East,1
Plus,999,46,1,6,5,2,1,0,200,235,False,True,South,1
Ultra,2499,34,5,7,6,0,1,0,1000,147,False,False,South,1
Basic,699,53,4,6,1,3,1,1,100,154,True,False,North,0
Ultra,2499,40,3,2,4,5,0,0,1000,129,False,False,South,1
Premium,1499,50,4,1,7,1,0,1,500,202,False,False,South,1
Ultra,2499,37,4,7,0,1,1,1,1000,110,False,False,South,1
Plus,999,27,8,0,4,5,1,0,200,27,False,False,East,1
Basic,699,1,5,3,8,2,1,1,100,280,False,False,North,1
Premium,1499,16,5,0,0,4,0,1,500,138,False,False,West,1
Ultra,2499,55,6,1,4,1,1,1,1000,267,False,False,West,1
Basic,699,35,7,5,6,2,1,1,100,131,True,False,South,1
Basic,699,24,4,1,8,2,0,0,100,187,True,False,South,1
Basic,699,1,8,4,5,0,1,1,100,199,True,False,East,1
Ultra,2499,3,5,0,3,5,0,1,1000,202,False,False,South,1
Ultra,2499,31,7,3,0,3,1,0,1000,123,False,True,South,1
Ultra,2499,59,4,1,0,4,1,1,1000,195,False,False,East,1
Basic,699,25,7,3,6,1,1,0,100,111,False,False,West,0
Basic,699,48,5,5,0,5,1,0,100,226,True,True,West,1
Ultra,2499,49,1,6,7,0,1,1,1000,250,False,False,North,1
Plus,999,37,0,7,3,4,0,0,200,125,False,False,South,1
Plus,999,27,5,3,3,3,0,1,200,56,False,False,West,1
Premium,1499,40,4,2,6,4,1,0,500,51,True,False,South,0
Basic,699,44,3,5,4,5,0,0,100,34,False,False,West,1
Ultra,2499,39,2,1,5,4,1,0,1000,169,True,False,South,0
Premium,1499,15,8,4,3,0,0,0,500,107,False,False,West,1
Basic,699,25,6,4,3,5,0,1,100,212,False,False,North,1
Premium,1499,57,2,1,5,0,0,1,500,202,False,True,North,0
Plus,999,27,4,0,7,0,0,0,200,192,False,False,North,1
Ultra,2499,10,8,2,6,4,0,1,1000,221,False,False,East,1
Basic,699,43,0,7,2,4,1,0,100,198,False,False,East,1
Ultra,2499,35,0,6,1,5,1,0,1000,180,True,False,West,1
Basic,699,34,2,0,3,4,0,1,100,168,True,False,South,0
Ultra,2499,13,4,4,4,1,1,1,1000,110,False,True,East,1
Ultra,2499,58,0,1,2,0,1,0,1000,82,False,False,East,1
Basic,699,38,1,2,3,3,1,0,100,94,True,False,East,1
Ultra,2499,53,0,3,6,5,1,0,1000,117,True,False,South,1
Plus,999,55,4,0,5,2,0,1,200,182,False,False,West,0
Premium,1499,44,0,3,6,5,1,0,500,225,True,False,West,0
Plus,999,34,5,4,6,3,0,0,200,110,False,True,North,1
Ultra,2499,39,8,6,4,4,0,0,1000,120,False,False,West,0
Plus,999,9,0,4,2,4,1,0,200,91,True,False,South,1
Ultra,2499,26,1,7,6,1,0,1,1000,153,False,False,South,1
Plus,999,14,5,7,6,4,1,1,200,152,False,True,West,1
Basic,699,16,4,2,0,4,1,0,100,152,True,True,South,0
Basic,699,10,2,6,0,0,0,0,100,176,False,True,West,0
Plus,999,54,1,4,3,0,1,0,200,133,False,True,South,1
Ultra,2499,21,2,7,2,0,1,1,1000,97,False,False,South,1
Plus,999,19,0,5,2,0,0,0,200,262,False,True,West,0
Ultra,2499,39,1,4,8,4,1,0,1000,165,False,False,North,1
