plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,churn
Plus,999,21,5,6,1,2,0,0,200,1
Ultra,2499,26,9,5,8,2,1,1,1000,1
Plus,999,13,0,0,6,1,1,1,200,0
Ultra,2499,48,7,1,0,3,0,0,1000,1
Basic,699,11,3,0,3,4,1,1,100,0
Ultra,2499,49,7,5,6,4,1,0,1000,1
Ultra,2499,13,5,4,2,5,0,0,1000,1
Ultra,2499,40,1,7,0,6,1,0,1000,1
Ultra,2499,18,4,2,7,1,1,1,1000,0
Ultra,2499,19,10,5,5,0,1,0,1000,1
Plus,999,6,2,1,3,5,0,0,200,0
Ultra,2499,23,6,8,3,4,0,1,1000,1
Plus,999,33,8,0,5,4,0,1,200,1
Basic,699,11,6,7,7,4,0,0,100,1
Basic,699,22,9,2,1,1,1,0,100,1
Premium,1499,16,3,5,1,6,0,0,500,1
Plus,999,43,6,4,4,2,0,0,200,1
Ultra,2499,3,0,8,1,0,1,0,1000,1
Ultra,2499,41,0,7,3,4,1,1,1000,1
Ultra,2499,43,5,5,4,0,0,1,1000,1
Premium,1499,25,7,2,6,4,0,1,500,1
Ultra,2499,29,2,7,3,4,0,1,1000,1
Premium,1499,37,1,2,5,4,0,0,500,0
Basic,699,10,9,0,1,0,0,1,100,1
Ultra,2499,24,0,2,7,4,1,1,1000,0
Premium,1499,53,0,6,6,4,1,0,500,1
Basic,699,18,1,2,5,3,0,0,100,0
Basic,699,17,6,3,1,4,1,1,100,1
Basic,699,46,2,3,1,3,0,0,100,0
Basic,699,60,7,6,2,2,0,1,100,1
Premium,1499,58,3,4,4,6,1,1,500,0
Ultra,2499,15,9,0,0,0,0,0,1000,1
Basic,699,15,0,5,6,0,1,1,100,1
Basic,699,31,7,6,8,5,0,1,100,1
Ultra,2499,35,10,0,8,1,1,1,1000,1
Premium,1499,30,5,0,8,2,1,0,500,1
Basic,699,6,9,3,4,0,0,1,100,1
Plus,999,57,7,1,7,0,1,1,200,1
Ultra,2499,33,3,8,3,1,1,1,1000,1
Plus,999,19,9,2,1,4,1,1,200,1
Ultra,2499,4,3,1,2,4,0,0,1000,0
Ultra,2499,59,5,7,1,5,0,0,1000,1
Premium,1499,53,8,6,6,5,1,1,500,1
Plus,999,49,8,4,2,2,1,1,200,1
Ultra,2499,57,4,5,8,4,0,1,1000,1
Premium,1499,24,4,0,5,5,1,1,500,0
Plus,999,49,4,1,1,0,0,1,200,0
Plus,999,5,8,1,0,0,1,1,200,1
Basic,699,16,0,0,1,5,1,1,100,0
Basic,699,26,8,5,4,1,1,0,100,1
Basic,699,51,10,8,0,3,0,0,100,1
Premium,1499,44,1,2,0,6,1,0,500,0
Ultra,2499,56,2,0,7,6,0,1,1000,0
Basic,699,21,9,5,3,4,1,1,100,1
Plus,999,50,1,3,2,6,0,0,200,0
Plus,999,41,9,0,4,6,0,1,200,1
Basic,699,29,2,4,0,2,0,1,100,0
Basic,699,31,3,1,2,5,1,1,100,0
Ultra,2499,60,5,3,8,0,1,0,1000,1
Plus,999,28,5,6,3,0,1,1,200,1
Plus,999,51,2,5,8,3,1,1,200,1
Basic,699,7,9,8,2,3,0,1,100,1
Basic,699,37,0,2,1,1,0,1,100,0
Premium,1499,38,0,7,4,6,0,0,500,1
Plus,999,57,0,3,8,0,1,0,200,0
Premium,1499,11,2,5,1,5,1,1,500,1
Plus,999,2,1,7,6,2,1,0,200,1
Basic,699,2,10,8,2,3,0,1,100,1
Basic,699,43,4,0,2,3,0,1,100,0
Ultra,2499,48,8,7,6,3,1,0,1000,1
Plus,999,30,4,0,8,2,0,0,200,0
Ultra,2499,5,9,3,0,5,1,1,1000,1
Basic,699,14,2,2,6,4,1,0,100,0
Ultra,2499,38,0,0,4,2,1,0,1000,0
Basic,699,39,2,6,8,6,1,1,100,1
Premium,1499,55,9,6,4,0,0,1,500,1
Basic,699,47,8,7,0,5,0,1,100,1
Premium,1499,46,0,8,3,6,1,1,500,1
Basic,699,7,7,3,7,0,1,1,100,1
Basic,699,34,2,2,5,5,0,1,100,0
Plus,999,21,7,2,7,0,0,1,200,1
Basic,699,8,5,6,5,5,1,0,100,1
Ultra,2499,22,4,7,4,1,1,0,1000,1
Plus,999,16,9,2,7,6,0,1,200,1
Plus,999,43,2,0,4,5,0,1,200,0
Premium,1499,33,3,8,3,3,1,0,500,1
Premium,1499,14,9,2,3,3,1,0,500,1
Basic,699,48,1,7,0,6,1,0,100,1
Premium,1499,13,6,4,3,3,1,1,500,1
Plus,999,2,0,5,4,0,0,0,200,1
Ultra,2499,48,5,1,2,4,0,0,1000,1
Plus,999,46,0,8,5,4,0,1,200,1
Basic,699,3,10,4,6,5,0,0,100,1
Premium,1499,53,7,2,2,2,0,1,500,1
Plus,999,18,10,1,5,2,1,1,200,1
Premium,1499,43,9,3,1,3,0,0,500,1
Premium,1499,40,3,1,6,1,1,0,500,0
Premium,1499,53,2,5,5,5,0,1,500,1
Premium,1499,53,6,3,8,0,0,1,500,1
Ultra,2499,42,7,6,6,1,1,1,1000,1
Basic,699,32,8,5,2,0,0,0,100,1
Premium,1499,37,1,4,8,0,0,1,500,0
Premium,1499,45,3,1,5,4,1,0,500,0
Ultra,2499,59,4,7,2,5,0,1,1000,1
Ultra,2499,8,7,6,1,5,1,0,1000,1
Premium,1499,14,6,8,2,3,0,0,500,1
Plus,999,54,0,2,2,3,0,0,200,0
Plus,999,29,10,0,6,0,0,1,200,1
Basic,699,18,7,0,7,5,1,0,100,1
Ultra,2499,29,7,8,1,3,1,0,1000,1
Premium,1499,1,1,6,6,1,0,1,500,1
Basic,699,37,2,7,6,4,0,0,100,1
Premium,1499,4,3,7,3,0,1,0,500,1
Ultra,2499,33,6,4,0,1,0,0,1000,1
Ultra,2499,33,9,0,3,0,1,1,1000,1
Ultra,2499,7,7,0,7,3,0,0,1000,1
Ultra,2499,10,1,4,4,5,1,1,1000,0
Ultra,2499,22,2,4,5,6,1,1,1000,0
Ultra,2499,19,0,8,1,5,1,0,1000,1
Ultra,2499,33,3,8,0,3,0,1,1000,1
Basic,699,46,7,5,5,4,1,1,100,1
Premium,1499,51,10,1,4,4,1,0,500,1
Basic,699,29,4,7,7,1,1,0,100,1
Premium,1499,22,10,4,8,1,0,0,500,1
Basic,699,60,6,7,4,2,1,1,100,1
Basic,699,28,8,5,5,2,1,1,100,1
Basic,699,13,7,6,5,0,0,0,100,1
Ultra,2499,34,2,1,7,6,0,0,1000,0
Ultra,2499,25,6,2,8,4,0,0,1000,1
Ultra,2499,50,4,1,1,0,1,0,1000,0
Ultra,2499,28,3,1,2,6,0,1,1000,0
Premium,1499,17,0,4,2,4,0,0,500,0
Plus,999,36,2,3,7,0,1,1,200,0
Premium,1499,5,10,2,7,3,0,0,500,1
Basic,699,3,5,8,3,1,1,0,100,1
Basic,699,50,10,7,7,6,0,0,100,1
Ultra,2499,45,2,3,5,3,0,1,1000,0
Ultra,2499,53,1,5,6,2,0,0,1000,1
Basic,699,17,4,3,3,3,1,1,100,0
Premium,1499,21,7,3,1,1,0,0,500,1
Plus,999,38,0,1,0,4,1,1,200,0
Premium,1499,11,3,8,4,4,0,1,500,1
Basic,699,6,1,8,2,3,0,0,100,1
Premium,1499,9,4,2,5,0,0,0,500,0
Premium,1499,43,5,3,7,2,0,1,500,1
Basic,699,52,9,6,8,4,0,1,100,1
Premium,1499,26,0,8,7,1,0,0,500,1
Basic,699,52,6,0,7,6,0,1,100,1
Basic,699,50,5,4,0,4,0,0,100,1
Ultra,2499,37,3,0,5,4,1,0,1000,0
Premium,1499,34,6,1,3,5,1,1,500,1
Ultra,2499,14,0,8,6,1,1,1,1000,1
Premium,1499,7,8,8,3,0,1,1,500,1
Plus,999,2,6,1,5,0,0,0,200,1
Premium,1499,5,4,4,4,1,0,1,500,0
Plus,999,9,1,7,8,0,1,1,200,1
Basic,699,36,8,1,2,2,0,0,100,1
Plus,999,55,6,2,5,6,0,1,200,1
Plus,999,13,1,7,0,4,0,0,200,1
Basic,699,8,6,0,2,3,0,0,100,1
Plus,999,58,8,2,3,4,0,0,200,1
Plus,999,20,0,7,4,6,1,1,200,1
Plus,999,58,0,0,4,6,0,0,200,0
Basic,699,4,10,1,0,5,1,1,100,1
Basic,699,6,1,6,8,0,0,1,100,1
Plus,999,54,7,7,1,4,1,1,200,1
Basic,699,6,6,7,4,0,0,0,100,1
Basic,699,10,0,7,1,5,1,0,100,1
Plus,999,1,1,2,8,6,1,0,200,1
Basic,699,36,8,2,0,3,0,0,100,1
Premium,1499,4,6,7,8,5,0,1,500,1
Premium,1499,13,4,5,8,1,1,1,500,1
Premium,1499,10,8,7,7,2,0,1,500,1
Basic,699,37,3,2,7,1,0,1,100,0
Plus,999,29,0,4,2,0,0,0,200,0
Ultra,2499,24,4,4,8,6,0,0,1000,0
Ultra,2499,12,6,5,2,2,0,0,1000,1
Basic,699,25,10,0,6,4,0,1,100,1
Premium,1499,10,4,3,5,2,0,1,500,0
Basic,699,21,10,2,5,5,1,0,100,1
Plus,999,59,5,2,1,4,1,1,200,1
Ultra,2499,52,0,3,6,4,0,0,1000,0
Ultra,2499,25,7,7,6,1,0,1,1000,1
Basic,699,25,1,5,6,6,0,0,100,1
Plus,999,47,10,2,5,5,0,0,200,1
Ultra,2499,44,10,6,4,2,1,1,1000,1
Basic,699,28,7,7,0,2,1,0,100,1
Ultra,2499,20,0,5,6,3,1,1,1000,1
Plus,999,30,10,1,6,3,0,0,200,1
Premium,1499,25,7,7,1,4,1,0,500,1
Ultra,2499,13,6,1,7,4,0,1,1000,1
Plus,999,20,2,0,5,1,1,0,200,0
Premium,1499,47,7,7,3,5,0,0,500,1
Premium,1499,54,0,8,8,5,0,0,500,1
Basic,699,40,2,0,6,5,1,0,100,0
Plus,999,21,3,1,0,2,0,0,200,0
Plus,999,32,0,8,6,4,0,1,200,1
Plus,999,35,3,2,0,0,1,1,200,0
Plus,999,53,3,6,8,6,1,0,200,1
Ultra,2499,58,8,5,1,2,0,1,1000,1
Plus,999,44,10,3,5,3,0,1,200,1
Premium,1499,1,8,2,0,5,1,1,500,1
Premium,1499,59,0,1,8,5,0,1,500,0
Ultra,2499,14,8,2,4,0,0,1,1000,1
Plus,999,58,8,2,2,0,1,1,200,1
Premium,1499,26,3,0,1,2,1,0,500,0
Premium,1499,7,3,8,4,4,1,1,500,1
Ultra,2499,41,0,4,1,2,1,0,1000,0
Premium,1499,46,2,5,4,6,1,0,500,1
Ultra,2499,32,0,5,3,6,0,1,1000,1
Ultra,2499,22,10,7,1,1,0,1,1000,1
Ultra,2499,36,5,7,7,0,1,0,1000,1
Basic,699,47,7,7,3,0,1,1,100,1
Ultra,2499,59,3,5,6,3,1,0,1000,1
Basic,699,27,4,3,6,2,1,0,100,0
Basic,699,15,7,8,5,0,0,1,100,1
Premium,1499,45,2,0,6,6,1,0,500,0
Premium,1499,5,2,2,7,6,1,0,500,1
Premium,1499,26,7,5,6,1,1,1,500,1
Plus,999,57,1,5,2,3,0,0,200,1
Ultra,2499,28,1,3,7,1,1,1,1000,0
Plus,999,5,3,1,6,4,1,1,200,1
Premium,1499,17,6,2,3,0,1,0,500,1
Ultra,2499,48,10,6,3,4,1,1,1000,1
Premium,1499,22,7,4,0,0,0,1,500,1
Ultra,2499,16,6,7,8,0,1,0,1000,1
Premium,1499,13,9,5,6,5,0,1,500,1
Ultra,2499,51,0,5,5,4,1,1,1000,1
Basic,699,19,2,1,1,1,1,1,100,0
Ultra,2499,25,1,0,8,5,1,0,1000,0
Basic,699,56,8,2,6,0,0,0,100,1
Plus,999,22,4,7,1,3,0,1,200,1
Basic,699,42,7,4,3,0,1,1,100,1
Premium,1499,5,7,1,8,6,0,1,500,1
Premium,1499,47,10,7,4,5,1,1,500,1
Premium,1499,28,1,4,6,2,1,1,500,0
Premium,1499,59,5,1,1,6,0,0,500,1
Plus,999,22,0,7,7,4,0,0,200,1
Premium,1499,43,8,6,8,0,1,1,500,1
Premium,1499,2,7,5,2,3,1,0,500,1
Plus,999,21,1,0,7,1,1,1,200,0
Ultra,2499,2,2,8,1,5,1,0,1000,1
Plus,999,24,0,5,8,3,1,1,200,1
Premium,1499,7,5,7,2,1,0,1,500,1
Premium,1499,46,5,6,0,1,1,0,500,1
Premium,1499,50,3,0,0,0,0,0,500,0
Premium,1499,2,6,3,8,1,0,0,500,1
Plus,999,26,3,8,8,0,1,0,200,1
Premium,1499,57,6,8,5,5,0,0,500,1
Premium,1499,38,4,2,5,0,0,0,500,0
Basic,699,34,9,8,3,0,0,1,100,1
Ultra,2499,8,2,2,8,4,0,1,1000,0
Ultra,2499,21,2,4,3,6,1,0,1000,0
Ultra,2499,55,1,1,8,5,0,1,1000,0
Ultra,2499,21,0,8,5,3,1,0,1000,1
Plus,999,54,8,2,3,3,1,0,200,1
Premium,1499,50,8,8,8,2,1,1,500,1
Plus,999,16,7,8,6,0,0,1,200,1
Basic,699,7,8,1,1,5,1,0,100,1
Plus,999,19,8,3,1,3,0,0,200,1
Basic,699,43,5,8,5,1,0,0,100,1
Basic,699,48,1,6,7,2,0,0,100,1
Basic,699,19,7,6,1,3,1,1,100,1
Premium,1499,25,6,8,1,6,0,0,500,1
Plus,999,5,8,0,0,3,1,0,200,1
Basic,699,33,0,6,1,1,0,1,100,1
Ultra,2499,55,4,7,6,4,0,1,1000,1
Plus,999,41,3,0,4,3,1,0,200,0
Ultra,2499,11,7,7,1,1,0,1,1000,1
Plus,999,44,1,4,6,4,1,0,200,0
Premium,1499,13,10,3,8,2,0,0,500,1
Plus,999,52,5,5,2,1,0,1,200,1
Ultra,2499,37,8,2,0,1,0,1,1000,1
Ultra,2499,60,3,5,0,4,1,0,1000,1
Premium,1499,7,0,6,8,3,1,0,500,1
Ultra,2499,3,0,0,4,3,1,1,1000,1
Basic,699,8,8,6,1,3,0,0,100,1
Basic,699,37,0,0,5,1,0,0,100,0
Basic,699,50,8,4,1,3,1,1,100,1
Premium,1499,24,1,2,7,0,1,0,500,0
Ultra,2499,30,8,3,6,3,1,1,1000,1
Ultra,2499,12,4,5,6,1,1,1,1000,1
Basic,699,39,7,8,3,3,1,0,100,1
Plus,999,11,1,3,8,5,1,1,200,0
Plus,999,21,2,1,2,3,0,1,200,0
Ultra,2499,29,2,2,5,1,1,1,1000,0
Plus,999,59,3,8,3,6,1,1,200,1
Plus,999,42,2,4,5,6,1,1,200,0
Plus,999,54,9,0,7,4,0,1,200,1
Plus,999,21,2,2,6,4,0,1,200,0
Plus,999,12,8,6,2,5,0,1,200,1
Premium,1499,35,4,5,5,6,1,0,500,1
Premium,1499,7,9,7,8,6,1,0,500,1
Premium,1499,59,7,1,1,6,1,0,500,1
Ultra,2499,16,1,8,2,4,0,0,1000,1
Plus,999,18,6,5,6,2,0,0,200,1
Premium,1499,28,10,5,5,3,0,1,500,1
Ultra,2499,8,3,6,5,6,0,0,1000,1
Basic,699,50,0,7,7,5,0,1,100,1
Ultra,2499,41,7,0,5,2,0,1,1000,1
Basic,699,21,1,6,7,6,1,1,100,1
Ultra,2499,51,3,6,8,4,1,0,1000,1
Premium,1499,36,8,5,4,3,0,1,500,1
Ultra,2499,54,1,2,5,2,0,1,1000,0
Ultra,2499,44,1,3,6,0,1,1,1000,0
Plus,999,44,6,0,7,4,1,0,200,1
Ultra,2499,8,0,7,5,3,1,1,1000,1
Basic,699,60,5,1,6,5,0,0,100,1
Premium,1499,11,8,0,3,1,1,1,500,1
Premium,1499,1,8,6,5,3,1,0,500,1
Basic,699,5,5,4,4,3,1,1,100,1
Plus,999,44,2,5,7,3,1,1,200,1
Plus,999,55,3,8,4,4,0,0,200,1
Ultra,2499,41,4,0,6,4,0,0,1000,0
Basic,699,18,5,2,3,3,1,1,100,1
Plus,999,37,6,2,1,4,0,1,200,1
Premium,1499,39,3,7,0,3,0,0,500,1
Ultra,2499,3,4,3,1,3,0,1,1000,0
Plus,999,49,0,6,1,0,1,0,200,1
Basic,699,57,9,1,2,3,1,0,100,1
Plus,999,50,2,6,1,4,1,0,200,1
Basic,699,48,7,2,3,6,1,0,100,1
Plus,999,60,6,0,5,6,0,1,200,1
Premium,1499,27,7,1,8,0,1,1,500,1
Ultra,2499,35,2,2,7,6,0,0,1000,0
Ultra,2499,24,2,8,2,4,1,1,1000,1
Basic,699,23,3,5,5,2,0,0,100,1
Ultra,2499,19,8,3,1,3,0,1,1000,1
Premium,1499,26,10,5,6,6,1,1,500,1
Premium,1499,25,2,5,6,5,1,1,500,1
Plus,999,11,2,7,1,3,1,0,200,1
Plus,999,9,9,5,3,2,0,0,200,1
Plus,999,41,7,7,2,1,0,1,200,1
Ultra,2499,55,2,7,5,4,0,1,1000,1
Basic,699,15,1,5,0,5,1,1,100,1
Ultra,2499,13,6,2,1,1,1,1,1000,1
Basic,699,41,9,8,2,0,0,1,100,1
Premium,1499,26,1,6,0,3,0,1,500,1
Plus,999,7,5,8,7,0,0,1,200,1
Plus,999,36,7,8,1,5,1,0,200,1
Ultra,2499,42,10,6,4,5,1,0,1000,1
Premium,1499,60,3,8,5,0,0,1,500,1
Plus,999,27,1,3,6,0,1,1,200,0
Basic,699,22,8,1,7,1,1,1,100,1
Ultra,2499,5,1,0,4,1,1,0,1000,1
Basic,699,47,1,8,0,5,1,1,100,1
Plus,999,59,4,5,6,1,0,0,200,1
Premium,1499,23,4,3,4,5,0,1,500,0
Plus,999,33,7,1,4,6,1,0,200,1
Plus,999,28,8,8,8,6,0,0,200,1
Ultra,2499,6,5,2,0,1,1,0,1000,1
Plus,999,43,10,7,3,0,1,0,200,1
Plus,999,44,6,6,1,6,1,0,200,1
Basic,699,45,6,0,2,4,0,1,100,1
Premium,1499,37,3,4,8,5,0,1,500,0
Ultra,2499,47,6,2,1,5,0,0,1000,1
Plus,999,40,0,2,0,5,1,1,200,0
Premium,1499,5,10,5,1,0,1,0,500,1
Basic,699,52,5,6,1,1,0,1,100,1
Plus,999,38,2,2,0,4,1,1,200,0
Premium,1499,46,3,8,1,2,1,0,500,1
Ultra,2499,60,2,3,7,1,1,1,1000,0
Ultra,2499,21,3,1,4,3,1,0,1000,0
Ultra,2499,33,9,3,0,1,1,1,1000,1
Ultra,2499,36,8,5,1,3,1,0,1000,1
Premium,1499,34,9,5,3,0,1,0,500,1
Plus,999,22,4,8,2,0,1,0,200,1
Plus,999,25,5,2,5,6,0,1,200,1
Plus,999,16,9,5,1,2,1,1,200,1
Plus,999,8,8,7,0,3,0,1,200,1
Ultra,2499,51,3,2,7,3,1,1,1000,0
Ultra,2499,16,1,6,0,2,0,1,1000,1
Ultra,2499,17,1,6,7,2,1,0,1000,1
Premium,1499,15,5,6,8,3,0,0,500,1
Ultra,2499,21,3,8,0,1,1,1,1000,1
Plus,999,3,5,8,6,6,1,0,200,1
Ultra,2499,3,9,0,4,0,1,1,1000,1
Premium,1499,36,5,6,7,5,0,1,500,1
Premium,1499,12,0,7,7,2,1,1,500,1
Plus,999,49,4,0,0,4,0,0,200,0
Basic,699,48,9,7,7,4,1,1,100,1
Premium,1499,38,7,3,6,4,1,0,500,1
Ultra,2499,48,9,8,5,2,1,0,1000,1
Basic,699,3,4,1,7,6,0,1,100,0
Premium,1499,41,9,1,3,6,0,1,500,1
Ultra,2499,31,5,3,0,6,1,1,1000,1
Ultra,2499,59,10,0,0,3,1,0,1000,1
Premium,1499,14,1,4,5,0,0,0,500,0
Basic,699,45,7,0,4,5,0,1,100,1
Plus,999,27,2,6,5,6,0,0,200,1
Plus,999,38,9,0,1,3,0,1,200,1
Plus,999,46,1,7,8,1,0,0,200,1
Premium,1499,31,10,4,6,6,1,1,500,1
Ultra,2499,49,5,2,3,2,0,0,1000,1
Plus,999,34,1,8,8,5,1,0,200,1
Basic,699,22,2,1,5,5,1,1,100,0
Premium,1499,45,4,6,4,0,0,0,500,1
Plus,999,46,0,8,1,5,1,1,200,1
Ultra,2499,57,1,7,7,4,0,0,1000,1
Ultra,2499,4,3,6,1,0,1,0,1000,1
Basic,699,49,1,5,8,5,1,1,100,1
Plus,999,56,3,3,7,1,0,0,200,0
Plus,999,51,4,5,8,0,0,1,200,1
Basic,699,20,7,6,5,2,1,1,100,1
Plus,999,5,9,2,2,5,0,1,200,1
Ultra,2499,57,5,7,6,0,1,1,1000,1
Basic,699,32,4,7,4,2,0,1,100,1
Ultra,2499,46,10,0,6,1,1,1,1000,1
Premium,1499,11,6,3,7,0,0,0,500,1
Premium,1499,32,7,3,8,2,1,1,500,1
Premium,1499,5,0,4,8,3,1,1,500,1
Plus,999,52,9,2,2,5,0,0,200,1
Ultra,2499,13,3,4,7,0,0,0,1000,0
Basic,699,9,2,6,2,5,0,1,100,1
Basic,699,52,6,6,4,3,0,0,100,1
Basic,699,49,4,8,0,0,1,0,100,1
Ultra,2499,24,3,6,5,0,0,0,1000,1
Ultra,2499,24,9,8,8,6,0,0,1000,1
Premium,1499,53,5,7,5,3,1,1,500,1
Basic,699,46,5,4,3,4,0,1,100,1
Plus,999,13,7,5,6,6,0,0,200,1
Ultra,2499,31,2,2,8,2,1,0,1000,0
Basic,699,4,7,1,6,4,1,1,100,1
Premium,1499,14,2,6,6,6,1,0,500,1
Premium,1499,17,9,6,7,3,0,1,500,1
Basic,699,41,6,2,5,1,0,1,100,1
Premium,1499,45,6,7,6,5,1,0,500,1
Premium,1499,6,5,2,6,0,1,0,500,1
Basic,699,14,5,2,0,5,0,0,100,1
Premium,1499,60,9,5,8,2,1,1,500,1
Plus,999,5,7,0,8,4,1,0,200,1
Basic,699,8,0,4,5,1,1,1,100,0
Plus,999,57,2,8,3,0,1,1,200,1
Premium,1499,42,2,4,5,5,0,1,500,0
Ultra,2499,54,1,7,1,5,0,1,1000,1
Plus,999,37,4,4,2,1,0,1,200,0
Plus,999,17,2,7,0,4,0,1,200,1
Basic,699,55,6,6,5,6,1,0,100,1
Premium,1499,34,2,6,6,4,1,0,500,1
Ultra,2499,33,6,4,8,2,0,0,1000,1
Basic,699,50,2,8,4,3,0,1,100,1
Premium,1499,25,8,6,8,2,0,1,500,1
Basic,699,57,10,1,4,1,0,1,100,1
Basic,699,43,10,7,0,2,0,0,100,1
Ultra,2499,47,2,8,2,0,0,1,1000,1
Premium,1499,7,9,3,3,5,1,0,500,1
Ultra,2499,11,0,0,4,2,1,1,1000,0
Basic,699,35,10,2,8,4,1,0,100,1
Premium,1499,44,7,2,5,2,0,0,500,1
Plus,999,2,10,0,0,2,0,0,200,1
Ultra,2499,31,9,8,8,6,0,1,1000,1
Premium,1499,38,5,6,5,0,0,0,500,1
Basic,699,47,3,5,6,5,0,1,100,1
Basic,699,45,1,1,5,5,0,1,100,0
Plus,999,14,6,8,0,2,1,0,200,1
Plus,999,15,1,0,4,2,0,1,200,0
Basic,699,25,9,5,2,0,0,1,100,1
Plus,999,21,2,3,0,6,0,1,200,0
Premium,1499,59,4,3,2,2,0,0,500,0
Plus,999,57,4,4,4,1,0,0,200,0
Ultra,2499,11,3,4,4,4,0,0,1000,0
Ultra,2499,25,9,4,2,0,1,1,1000,1
Premium,1499,31,2,2,4,0,1,1,500,0
Premium,1499,49,4,5,5,2,1,1,500,1
Basic,699,53,1,4,1,0,0,1,100,0
Basic,699,35,4,4,5,4,0,0,100,0
Ultra,2499,41,10,6,5,0,1,1,1000,1
Basic,699,38,1,5,2,0,0,1,100,1
Premium,1499,10,1,8,1,1,0,0,500,1
Basic,699,1,5,1,4,4,0,1,100,1
Premium,1499,44,10,5,6,6,0,1,500,1
Plus,999,8,10,8,8,5,0,0,200,1
Plus,999,43,0,7,8,1,0,0,200,1
Ultra,2499,32,10,3,7,1,0,0,1000,1
Plus,999,27,9,0,6,2,0,1,200,1
Premium,1499,15,3,1,2,0,1,1,500,0
Ultra,2499,54,4,8,5,3,0,0,1000,1
Basic,699,11,8,4,3,1,0,1,100,1
Basic,699,36,5,8,0,5,1,0,100,1
Plus,999,39,7,8,3,1,0,1,200,1
Premium,1499,24,1,2,2,5,1,1,500,0
Premium,1499,33,4,1,3,1,1,0,500,0
Basic,699,28,0,4,5,3,1,1,100,0
Ultra,2499,3,5,8,8,5,0,1,1000,1
Basic,699,26,9,2,5,4,0,0,100,1
Basic,699,8,7,4,7,0,0,1,100,1
Ultra,2499,51,8,6,4,6,0,0,1000,1
Basic,699,54,8,1,8,6,1,1,100,1
Basic,699,40,9,5,5,0,1,1,100,1
Plus,999,3,4,0,8,4,1,0,200,1
Plus,999,50,10,1,8,2,0,1,200,1
Ultra,2499,2,3,6,3,5,1,1,1000,1
Plus,999,23,10,0,0,5,0,1,200,1
Plus,999,42,7,3,0,0,0,0,200,1
Premium,1499,52,1,3,6,0,1,1,500,0
Plus,999,37,3,0,6,6,0,0,200,0
Ultra,2499,24,10,6,5,3,1,1,1000,1
Plus,999,26,3,4,4,6,1,0,200,0
Premium,1499,10,10,4,1,2,1,1,500,1
Premium,1499,20,1,5,5,6,1,1,500,1
Basic,699,2,3,4,6,6,1,1,100,1
Plus,999,30,2,6,1,4,1,0,200,1
Premium,1499,22,9,3,6,5,1,1,500,1
Premium,1499,8,6,3,5,1,1,1,500,1
Basic,699,15,5,0,7,4,0,0,100,1
Premium,1499,34,10,2,5,5,1,0,500,1
Premium,1499,39,5,8,3,3,0,1,500,1
Premium,1499,48,9,2,4,4,0,0,500,1
Plus,999,8,2,4,5,5,1,1,200,0
Plus,999,57,6,2,8,3,0,0,200,1
Premium,1499,4,5,3,5,3,1,1,500,1
Plus,999,48,7,7,0,5,1,1,200,1
Plus,999,44,9,1,2,3,0,0,200,1
Ultra,2499,4,1,3,7,3,1,0,1000,1
Basic,699,59,10,7,0,5,0,0,100,1
Plus,999,25,6,5,8,5,0,0,200,1
Plus,999,20,6,8,1,1,1,1,200,1
Basic,699,13,7,3,0,0,1,0,100,1
Basic,699,9,7,5,0,5,1,1,100,1
Ultra,2499,38,9,3,2,4,0,1,1000,1
Premium,1499,30,3,5,0,5,1,0,500,1
Ultra,2499,35,8,2,7,6,0,0,1000,1
Basic,699,21,3,5,8,0,0,1,100,1
Basic,699,11,2,6,8,0,0,0,100,1
Ultra,2499,57,8,5,2,3,0,1,1000,1
Ultra,2499,48,10,2,4,2,0,1,1000,1
Ultra,2499,46,10,7,0,3,1,0,1000,1
Premium,1499,24,10,6,6,2,0,0,500,1
Plus,999,47,8,7,7,6,1,0,200,1
Plus,999,59,4,0,7,2,0,0,200,0
Premium,1499,39,4,1,7,2,1,1,500,0
Plus,999,12,7,0,0,4,0,1,200,1
Plus,999,20,10,8,3,3,1,1,200,1
Basic,699,28,7,5,0,2,0,0,100,1
Plus,999,42,6,6,8,5,1,1,200,1
Basic,699,31,5,0,5,6,0,1,100,1
Ultra,2499,5,7,6,3,5,1,1,1000,1
Ultra,2499,57,6,5,3,2,0,1,1000,1
Basic,699,48,1,2,3,0,1,0,100,0
Basic,699,14,4,6,7,0,1,1,100,1
Ultra,2499,35,2,5,6,4,0,0,1000,1
Plus,999,38,3,8,6,3,0,0,200,1
Ultra,2499,13,9,1,0,2,1,1,1000,1
Plus,999,33,4,1,5,1,1,0,200,0
Basic,699,6,1,3,0,5,1,1,100,0
Basic,699,54,8,5,0,1,0,0,100,1
Ultra,2499,49,0,3,8,0,1,1,1000,0
Premium,1499,52,6,5,0,3,0,1,500,1
Premium,1499,58,1,2,0,2,0,1,500,0
Basic,699,10,6,3,6,3,0,0,100,1
Ultra,2499,34,0,6,8,6,1,0,1000,1
Basic,699,56,7,6,1,5,1,1,100,1
Premium,1499,16,9,8,8,3,1,0,500,1
Ultra,2499,52,2,7,7,1,0,1,1000,1
Plus,999,19,3,1,1,3,0,1,200,0
Premium,1499,24,3,2,3,4,1,1,500,0
Premium,1499,35,1,4,8,0,1,0,500,0
